X,Y,Z,,
273.6178,74.4667,1004.2729,,
274.5987,74.3274,1004.2762,,
275.5796,74.1948,1004.2794,,
276.5605,74.0688,1004.2826,,
277.5414,73.9497,1004.2859,,
278.5223,73.8376,1004.2891,,
279.5032,73.7325,1004.2924,,
280.4841,73.6347,1004.2956,,
281.4650,73.5441,1004.2988,,
282.4459,73.4609,1004.3021,,
283.4268,73.3852,1004.3053,,
284.4076,73.3170,1004.3085,,
285.3885,73.2565,1004.3118,,
286.3694,73.2036,1004.3150,,
287.3503,73.1585,1004.3183,,
288.3312,73.1212,1004.3215,,
289.3121,73.0916,1004.3247,,
290.2930,73.0700,1004.3280,,
291.2739,73.0562,1004.3312,,
292.2548,73.0502,1004.3344,,
293.2357,73.0522,1004.3377,,
294.2166,73.0621,1004.3409,,
295.1975,73.0798,1004.3442,,
296.1783,73.1054,1004.3474,,
297.1592,73.1389,1004.3506,,
298.1401,73.1801,1004.3539,,
299.1210,73.2291,1004.3571,,
300.1019,73.2858,1004.3603,,
301.0828,73.3502,1004.3636,,
302.0637,73.4221,1004.3668,,
303.0446,73.5016,1004.3700,,
304.0255,73.5885,1004.3733,,
305.0064,73.6827,1004.3765,,
305.9873,73.7841,1004.3798,,
306.9682,73.8928,1004.3830,,
307.9490,74.0084,1004.3862,,
308.9299,74.1309,1004.3895,,
309.9108,74.2603,1004.3927,,
310.8917,74.3962,1004.3959,,
311.8726,74.5387,1004.3992,,
312.8535,74.6876,1004.4024,,
313.8344,74.8427,1004.4057,,
314.8153,75.0038,1004.4089,,
315.7962,75.1708,1004.4121,,
316.7771,75.3435,1004.4154,,
317.7580,75.5218,1004.4186,,
318.7389,75.7055,1004.4218,,
319.7197,75.8943,1004.4251,,
320.7006,76.0880,1004.4283,,
321.6815,76.2866,1004.4315,,
322.6624,76.4897,1004.4348,,
323.6433,76.6972,1004.4380,,
324.6242,76.9089,1004.4413,,
325.6051,77.1245,1004.4445,,
326.5860,77.3438,1004.4477,,
327.5669,77.5666,1004.4510,,
328.5478,77.7927,1004.4542,,
329.5287,78.0218,1004.4574,,
330.5096,78.2536,1004.4607,,
331.4904,78.4881,1004.4639,,
332.4713,78.7249,1004.4672,,
333.4522,78.9637,1004.4704,,
334.4331,79.2044,1004.4736,,
335.4140,79.4466,1004.4769,,
336.3949,79.6902,1004.4801,,
337.3758,79.9349,1004.4833,,
338.3567,80.1804,1004.4866,,
339.3376,80.4265,1004.4898,,
340.3185,80.6730,1004.4931,,
341.2994,80.9195,1004.4963,,
342.2803,81.1658,1004.4995,,
343.2611,81.4117,1004.5028,,
344.2420,81.6570,1004.5060,,
345.2229,81.9013,1004.5092,,
346.2038,82.1444,1004.5125,,
347.1847,82.3861,1004.5157,,
348.1656,82.6261,1004.5189,,
349.1465,82.8642,1004.5222,,
350.1274,83.1001,1004.5254,,
351.1083,83.3336,1004.5287,,
352.0892,83.5645,1004.5319,,
353.0701,83.7925,1004.5351,,
354.0510,84.0173,1004.5384,,
355.0318,84.2389,1004.5416,,
356.0127,84.4568,1004.5448,,
356.9936,84.6709,1004.5481,,
357.9745,84.8811,1004.5513,,
358.9554,85.0870,1004.5546,,
359.9363,85.2884,1004.5578,,
360.9172,85.4852,1004.5610,,
361.8981,85.6771,1004.5643,,
362.8790,85.8640,1004.5675,,
363.8599,86.0457,1004.5707,,
364.8408,86.2219,1004.5740,,
365.8217,86.3925,1004.5772,,
366.8025,86.5573,1004.5804,,
367.7834,86.7162,1004.5837,,
368.7643,86.8690,1004.5869,,
369.7452,87.0155,1004.5902,,
370.7261,87.1555,1004.5934,,
371.7070,87.2890,1004.5966,,
372.6879,87.4158,1004.5999,,
373.6688,87.5358,1004.6031,,
374.6497,87.6488,1004.6063,,
375.6306,87.7547,1004.6096,,
376.6115,87.8535,1004.6128,,
377.5924,87.9450,1004.6161,,
378.5732,88.0291,1004.6193,,
379.5541,88.1057,1004.6225,,
380.5350,88.1749,1004.6258,,
381.5159,88.2363,1004.6290,,
382.4968,88.2902,1004.6322,,
383.4777,88.3363,1004.6355,,
384.4586,88.3746,1004.6387,,
385.4395,88.4051,1004.6419,,
386.4204,88.4278,1004.6452,,
387.4013,88.4425,1004.6484,,
388.3822,88.4494,1004.6517,,
389.3631,88.4485,1004.6549,,
390.3439,88.4396,1004.6581,,
391.3248,88.4228,1004.6614,,
392.3057,88.3982,1004.6646,,
393.2866,88.3657,1004.6678,,
394.2675,88.3255,1004.6711,,
395.2484,88.2774,1004.6743,,
396.2293,88.2217,1004.6776,,
397.2102,88.1583,1004.6808,,
398.1911,88.0873,1004.6840,,
399.1720,88.0088,1004.6873,,
400.1529,87.9228,1004.6905,,
401.1338,87.8295,1004.6937,,
402.1146,87.7289,1004.6970,,
403.0955,87.6212,1004.7002,,
404.0764,87.5064,1004.7035,,
405.0573,87.3848,1004.7067,,
406.0382,87.2563,1004.7099,,
407.0191,87.1211,1004.7132,,
408.0000,86.9794,1004.7164,,
408.9809,86.8314,1004.7196,,
409.9618,86.6771,1004.7229,,
410.9427,86.5167,1004.7261,,
411.9236,86.3504,1004.7293,,
412.9045,86.1784,1004.7326,,
413.8854,86.0008,1004.7358,,
414.8662,85.8178,1004.7391,,
415.8471,85.6296,1004.7423,,
416.8280,85.4364,1004.7455,,
417.8089,85.2385,1004.7488,,
418.7898,85.0359,1004.7520,,
419.7707,84.8289,1004.7552,,
420.7516,84.6178,1004.7585,,
421.7325,84.4027,1004.7617,,
422.7134,84.1838,1004.7650,,
423.6943,83.9614,1004.7682,,
424.6752,83.7358,1004.7714,,
425.6561,83.5070,1004.7747,,
426.6369,83.2755,1004.7779,,
427.6178,83.0413,1004.7811,,
428.5987,82.8048,1004.7844,,
429.5796,82.5663,1004.7876,,
430.5605,82.3258,1004.7908,,
431.5414,82.0837,1004.7941,,
432.5223,81.8403,1004.7973,,
433.5032,81.5957,1004.8006,,
434.4841,81.3503,1004.8038,,
435.4650,81.1043,1004.8070,,
436.4459,80.8579,1004.8103,,
437.4268,80.6113,1004.8135,,
438.4076,80.3650,1004.8167,,
439.3885,80.1190,1004.8200,,
440.3694,79.8737,1004.8232,,
441.3503,79.6292,1004.8265,,
442.3312,79.3859,1004.8297,,
443.3121,79.1441,1004.8329,,
444.2930,78.9038,1004.8362,,
445.2739,78.6655,1004.8394,,
446.2548,78.4293,1004.8426,,
447.2357,78.1954,1004.8459,,
448.2166,77.9642,1004.8491,,
449.1975,77.7359,1004.8524,,
450.1783,77.5106,1004.8556,,
451.1592,77.2886,1004.8588,,
452.1401,77.0702,1004.8621,,
453.1210,76.8556,1004.8653,,
454.1019,76.6450,1004.8685,,
455.0828,76.4385,1004.8718,,
456.0637,76.2365,1004.8750,,
457.0446,76.0391,1004.8782,,
458.0255,75.8466,1004.8815,,
459.0064,75.6591,1004.8847,,
459.9873,75.4767,1004.8880,,
460.9682,75.2998,1004.8912,,
461.9490,75.1285,1004.8944,,
462.9299,74.9630,1004.8977,,
463.9108,74.8033,1004.9009,,
464.8917,74.6498,1004.9041,,
465.8726,74.5025,1004.9074,,
466.8535,74.3616,1004.9106,,
467.8344,74.2273,1004.9139,,
468.8153,74.0997,1004.9171,,
469.7962,73.9788,1004.9203,,
470.7771,73.8649,1004.9236,,
471.7580,73.7581,1004.9268,,
472.7389,73.6584,1004.9300,,
473.7197,73.5660,1004.9333,,
474.7006,73.4810,1004.9365,,
475.6815,73.4034,1004.9397,,
476.6624,73.3334,1004.9430,,
477.6433,73.2709,1004.9462,,
478.6242,73.2161,1004.9495,,
479.6051,73.1691,1004.9527,,
480.5860,73.1298,1004.9559,,
481.5669,73.0983,1004.9592,,
482.5478,73.0747,1004.9624,,
483.5287,73.0589,1004.9656,,
484.5096,73.0510,1004.9689,,
485.4904,73.0510,1004.9721,,
486.4713,73.0589,1004.9754,,
487.4522,73.0747,1004.9786,,
488.4331,73.0983,1004.9818,,
489.4140,73.1298,1004.9851,,
490.3949,73.1691,1004.9883,,
491.3758,73.2161,1004.9915,,
492.3567,73.2709,1004.9948,,
493.3376,73.3334,1004.9980,,
494.3185,73.4034,1005.0013,,
495.2994,73.4810,1005.0045,,
496.2803,73.5660,1005.0077,,
497.2611,73.6584,1005.0110,,
498.2420,73.7581,1005.0142,,
499.2229,73.8649,1005.0174,,
500.2038,73.9788,1005.0207,,
501.1847,74.0997,1005.0239,,
502.1656,74.2273,1005.0271,,
503.1465,74.3616,1005.0304,,
504.1274,74.5025,1005.0336,,
505.1083,74.6498,1005.0369,,
506.0892,74.8033,1005.0401,,
507.0701,74.9630,1005.0433,,
508.0510,75.1285,1005.0466,,
509.0318,75.2998,1005.0498,,
510.0127,75.4767,1005.0530,,
510.9936,75.6591,1005.0563,,
511.9745,75.8466,1005.0595,,
512.9554,76.0391,1005.0628,,
513.9363,76.2365,1005.0660,,
514.9172,76.4385,1005.0692,,
515.8981,76.6450,1005.0725,,
516.8790,76.8556,1005.0757,,
517.8599,77.0702,1005.0789,,
518.8408,77.2886,1005.0822,,
519.8217,77.5106,1005.0854,,
520.8025,77.7359,1005.0886,,
521.7834,77.9642,1005.0919,,
522.7643,78.1954,1005.0951,,
523.7452,78.4293,1005.0984,,
524.7261,78.6655,1005.1016,,
525.7070,78.9038,1005.1048,,
526.6879,79.1441,1005.1081,,
527.6688,79.3859,1005.1113,,
528.6497,79.6292,1005.1145,,
529.6306,79.8737,1005.1178,,
530.6115,80.1190,1005.1210,,
531.5924,80.3650,1005.1243,,
532.5732,80.6113,1005.1275,,
533.5541,80.8579,1005.1307,,
534.5350,81.1043,1005.1340,,
535.5159,81.3503,1005.1372,,
536.4968,81.5957,1005.1404,,
537.4777,81.8403,1005.1437,,
538.4586,82.0837,1005.1469,,
539.4395,82.3258,1005.1501,,
540.4204,82.5663,1005.1534,,
541.4013,82.8048,1005.1566,,
542.3822,83.0413,1005.1599,,
543.3631,83.2755,1005.1631,,
544.3439,83.5070,1005.1663,,
545.3248,83.7358,1005.1696,,
546.3057,83.9614,1005.1728,,
547.2866,84.1838,1005.1760,,
548.2675,84.4027,1005.1793,,
549.2484,84.6178,1005.1825,,
550.2293,84.8289,1005.1858,,
551.2102,85.0359,1005.1890,,
552.1911,85.2385,1005.1922,,
553.1720,85.4364,1005.1955,,
554.1529,85.6296,1005.1987,,
555.1338,85.8178,1005.2019,,
556.1146,86.0008,1005.2052,,
557.0955,86.1784,1005.2084,,
558.0764,86.3504,1005.2117,,
559.0573,86.5167,1005.2149,,
560.0382,86.6771,1005.2181,,
561.0191,86.8314,1005.2214,,
562.0000,86.9794,1005.2246,,
562.9809,87.1211,1005.2278,,
563.9618,87.2563,1005.2311,,
564.9427,87.3848,1005.2343,,
565.9236,87.5064,1005.2375,,
566.9045,87.6212,1005.2408,,
567.8854,87.7289,1005.2440,,
568.8662,87.8295,1005.2473,,
569.8471,87.9228,1005.2505,,
570.8280,88.0088,1005.2537,,
571.8089,88.0873,1005.2570,,
572.7898,88.1583,1005.2602,,
573.7707,88.2217,1005.2634,,
